Year,SSP,Mean_Runoff_m3,Std_Runoff_m3,Mean_Smooth_m3
2086.0,ssp370,8033300806.0,989015713.0928589,8064847021.279994
2087.0,ssp370,8187765662.600009,978658270.5265487,7962983634.919995
2088.0,ssp370,7746269306.2,420599775.613015,7908173622.679995
2089.0,ssp370,7601473934.999998,1048057590.1527028,7869834583.319994
2090.0,ssp370,7972058403.599997,805745961.5162312,7813087401.879992
2091.0,ssp370,7841605609.199997,471869237.2447541,7693614572.719992
2092.0,ssp370,7904029755.399997,1289372866.0111206,7740488091.039991
2093.0,ssp370,7148905160.400004,1277820525.2150395,7660073488.839992
2094.0,ssp370,7835841526.6,926015754.3840909,7564454791.999992
2095.0,ssp370,7569985392.6,1203000727.9499433,7428996214.159993
2096.0,ssp370,7363512124.999998,881292838.2334616,7513427870.679993
2097.0,ssp370,7226736866.2,1397745175.2864833,7367221325.399992
2098.0,ssp370,7571063442.999998,1431572368.396717,7316930104.399992
2099.0,ssp370,7104808800.2,859539040.3047312,
2100.0,ssp370,7318529287.599997,1055214053.521841,
2020.0,ssp585,7778450624.800003,1472577296.5481427,
2021.0,ssp585,7760847084.999995,1309500007.2482207,
2022.0,ssp585,7647189101.000005,1033997372.4722247,7984699719.4800005
2023.0,ssp585,8410422739.0,801488807.0862117,8024403140.599998
2024.0,ssp585,8326589047.599998,2094728417.5743682,8270553895.719999
2025.0,ssp585,7976967730.399997,1165855711.745836,8427096678.399997
2026.0,ssp585,8991600860.6,1385667652.7080266,8454523202.559998
2027.0,ssp585,8429903014.399997,1151691635.7197104,8429873012.679996
2028.0,ssp585,8547555359.800005,1709159601.6804101,8440466206.919996
2029.0,ssp585,8203338098.199991,1297655155.280554,8452278945.519997
2030.0,ssp585,8029933701.599996,1850342168.5996408,8695666028.999998
2031.0,ssp585,9050664553.599995,1189208545.4866207,8967856412.8
2032.0,ssp585,9646838431.800005,1321258514.5236437,9256174593.720003
2033.0,ssp585,9908507278.800009,1978086851.9928071,9500965060.680004
2034.0,ssp585,9644929002.8,1795434414.860916,9531537076.640005
2035.0,ssp585,9253886036.399998,1120748542.260261,9530091140.640003
2036.0,ssp585,9203524633.399998,1505244038.539842,9665550364.680002
2037.0,ssp585,9639608751.799995,1217925154.401858,9639195804.360004
2038.0,ssp585,10585803399.0,2012455660.3044107,9790333630.400003
2039.0,ssp585,9513156201.200008,1631378064.746882,9859550252.920004
2040.0,ssp585,10009575166.59999,1010183455.0841982,9911504269.360004
2041.0,ssp585,9549607746.0,1229205980.1319945,9994709479.480003
2042.0,ssp585,9899378834.000004,1386513456.5350392,10251685090.080002
2043.0,ssp585,11001829449.599993,3498097199.1023602,10426754868.920004
2044.0,ssp585,10798034254.2,2705708749.7946424,10588981835.240005
2045.0,ssp585,10884924060.800007,1876583172.188613,10683595706.000006
2046.0,ssp585,10360742577.600002,2550935257.7337103,10713250052.32001
2047.0,ssp585,10372448187.800003,2109604879.2391994,10810500570.800009
2048.0,ssp585,11150101181.200005,2952565829.228397,10746398065.280008
2049.0,ssp585,11284286846.600006,2494042150.037625,10846095444.160007
2050.0,ssp585,10564411533.199999,2504579406.41264,10958472633.120007
2051.0,ssp585,10859229472.000004,1918946693.0644424,10784935285.200008
2052.0,ssp585,10934334132.600002,2556428225.681524,10615657886.200006
2053.0,ssp585,10282414441.600006,2368611088.2659492,10591713053.640005
2054.0,ssp585,10437899851.6,2376328249.812046,10600655348.760004
2055.0,ssp585,10444687370.399994,1951734893.5165057,10511477505.640003
2056.0,ssp585,10903940947.599997,2268410171.9649773,10673693618.4
2057.0,ssp585,10488444916.999994,1530364863.8452852,10643256759.04
2058.0,ssp585,11093495005.399998,2167075863.166324,10620853849.240002
2059.0,ssp585,10285715554.800003,1648332261.2594547,10440163543.720003
2060.0,ssp585,10332672821.399994,1732528644.374958,10259870580.160006
2061.0,ssp585,10000489420.000004,2039845786.164031,10031929250.520004
2062.0,ssp585,9586980099.200003,1313899933.571111,9905705037.800003
2063.0,ssp585,9953788357.199997,1367095127.3515232,9684567134.920004
2064.0,ssp585,9654594491.199995,1153892026.7130961,9526330238.000004
2065.0,ssp585,9226983306.999996,776129931.8403476,9468466138.520002
2066.0,ssp585,9209304935.4,533670208.9975171,9207182124.680002
2067.0,ssp585,9297659601.8,441194970.9339135,9038997930.000002
2068.0,ssp585,8647368287.999996,922738172.7289429,8922720101.520004
2069.0,ssp585,8813673517.799997,832410928.06826,8870324981.800005
2070.0,ssp585,8645594164.600006,605032309.7917272,8736355589.440002
2071.0,ssp585,8947329336.800003,719501988.6980423,8776137669.800003
2072.0,ssp585,8627812639.999996,1068049034.070773,8816766061.840004
2073.0,ssp585,8846278689.800003,693553573.8175484,8814241829.920002
2074.0,ssp585,9016815478.0,1352328698.6693208,8839423632.040003
2075.0,ssp585,8632973004.999996,519430513.3824476,8786898593.640003
2076.0,ssp585,9073238347.400005,1234089006.4146771,8678175803.960003
2077.0,ssp585,8365187447.999998,521306493.7494788,8653731256.280003
2078.0,ssp585,8302664741.400004,803934264.18455,8614426954.440002
2079.0,ssp585,8894592739.600002,760648047.9008836,8464144836.520001
2080.0,ssp585,8436451495.8,1227049398.68878,8577383859.840002
2081.0,ssp585,8321827757.8,825898018.5072308,8641224053.84
2082.0,ssp585,8931382564.600002,741911367.4133718,8635011551.4
2083.0,ssp585,8621865711.399998,1154621922.4488986,8587255011.759999
2084.0,ssp585,8863530227.399996,623695733.6540575,8436241077.079997
2085.0,ssp585,8197668797.600001,1221718048.4989703,8207544289.239996
2086.0,ssp585,7566758084.399997,941429212.8430158,8055567127.119995
2087.0,ssp585,7787898625.399996,991365400.5416818,7852794549.079996
2088.0,ssp585,7861979900.799993,1202931261.9646673,7715325985.479996
2089.0,ssp585,7849667337.2,1219195234.5424554,7794199650.079997
2090.0,ssp585,7510325979.599998,982698207.5652475,7669884295.679998
2091.0,ssp585,7961126407.400002,709776151.0495269,7575902501.24
2092.0,ssp585,7166321853.400002,1190550530.5525343,7526230803.000002
2093.0,ssp585,7392070928.6,1189536274.54655,7453358697.3600025
2094.0,ssp585,7601308846.000006,1218401334.2315924,7314409895.2
2095.0,ssp585,7145965451.400003,564326118.0694131,7233156591.359999
2096.0,ssp585,7266382396.599993,628142332.3993046,7135782561.719999
2097.0,ssp585,6760055334.200001,873060737.1771026,7077090526.359998
2098.0,ssp585,6905200780.4,714333797.2668797,7160315373.839998
2099.0,ssp585,7307848669.199997,643844797.9993119,
2100.0,ssp585,7562089688.800001,1022883810.881896,
