RGI_ID,Corr_TempBias_MB,Corr_PrcpFac_MB,Mean_MB_Mean,Mean_MB_Std
RGI60-13.44592,-0.17020069581305639,0.9901268722968226,-899.3500937478957,13.623818667566173
RGI60-13.44593,0.045489674092035706,0.9961604304607566,-649.5915134719593,18.41204376314532
RGI60-13.44594,-0.2035022227777286,0.9972764657327413,-331.4097981961487,26.34818360406371
RGI60-13.44595,-0.2329771463801005,0.9933456868260685,-703.3859829119682,16.668759248523582
RGI60-13.44596,0.05228426931300168,0.99263420551905,-632.8709627297912,17.790062261397036
RGI60-13.44597,-0.33052426157026377,0.993221123563558,-676.5709934544857,15.246564777880435
RGI60-13.44598,-0.07270214576303413,0.9959286473820715,-431.1067841729511,19.872456624631308
RGI60-13.44599,-0.022068314925372732,0.9907394569677349,-964.6972002295955,14.573166761104194
RGI60-13.44600,-0.2155155318456332,0.9880504950668437,-633.5093342200488,12.682710952404133
RGI60-13.44601,-0.19806068312627184,0.9909854813427116,-505.9719253965313,14.573266703023872
RGI60-13.44602,-0.32600748399001733,0.9911713691702271,-8.994835255511857,14.702386887621651
RGI60-13.44603,-0.2791727289813652,0.9876019120337075,-772.5139789051958,13.26113690978671
RGI60-13.44604,-0.086906206481368,0.9959222302393894,-286.45628501720654,19.43371628859162
RGI60-13.44605,-0.26651972456059825,0.9887987828431362,-110.16983503049747,13.597211356925927
RGI60-13.44606,-0.13107053745942573,0.9948432683646952,-308.5006771610967,21.03199023282841
RGI60-13.44607,-0.2520928051063422,0.9921641944811115,-554.1484433753147,15.520914521786782
RGI60-13.44608,-0.1817163940255512,0.9833362757716239,-1234.6230082993811,11.215168040334524
RGI60-13.44609,-0.12406798049099645,0.9913537043065017,-634.0062772279657,13.358596926886024
RGI60-13.44610,-0.22241414528732614,0.9925914865846229,-534.2485394189798,17.881235738553084
RGI60-13.44611,-0.18109562002765295,0.9866998588998578,-578.0122713406932,11.362376743823702
RGI60-13.44612,-0.17710853547363853,0.99195380443592,-621.7401092537785,16.985666305886266
RGI60-13.44613,-0.08408830197798609,0.9873949757317872,-636.5446916468223,12.62685836066294
RGI60-13.44614,-0.15412721620215342,0.9922044967159388,-664.5073639759881,17.157557804884238
RGI60-13.44615,0.08362223595994119,0.9942589837657207,-230.4357481259983,18.62317222905546
RGI60-13.44616,-0.05368808748678658,0.9841169627979975,-846.3828496487845,11.341736424047037
RGI60-13.44617,-0.28883383291799564,0.9909113663339106,-417.4739128009935,15.032018522236825
RGI60-13.44618,-0.33855975513842806,0.9944503487152709,-618.8712252151647,17.955052343976618
RGI60-13.44619,0.0654189093787363,0.9920030580450586,-379.79884247114353,15.306709532536733
RGI60-13.44620,-0.11377180081851329,0.984068676006663,-503.380030107793,11.191618278707281
RGI60-13.44621,-0.1501629095017273,0.9907759555380153,-457.6466867476323,14.529673833923802
RGI60-13.44622,-0.1533392003154182,0.9940321762647643,-565.8447129639175,17.654212039856553
RGI60-13.44623,0.08002326635364404,0.9903436357144212,-491.6927362272444,13.876198059208328
RGI60-13.44624,-0.14173939662573465,0.9937225236601562,-197.57571163639605,18.8630580300671
RGI60-13.44625,-0.047004640132358264,0.995332536956904,-374.75461157710646,22.156040627203314
RGI60-13.44626,-0.004299118022165861,0.9918790879923175,-698.5155240311066,16.120567756824773
RGI60-13.44627,-0.08185231329215517,0.9906740480601508,-435.95215258376214,16.211148029979828
RGI60-13.44628,-0.1645232215703406,0.9904610971569493,-231.23962154594923,13.92581936079891
RGI60-13.44629,-0.2559388055671795,0.9925620207930888,-711.5368822606284,15.876712467966545
RGI60-13.44630,-0.24799790363890303,0.9941261883827403,-289.74434167299006,18.213307915307656
RGI60-13.44631,0.02028565708563357,0.9952568243314569,-590.4818831836411,17.090038712911493
RGI60-13.44632,0.027313037876109995,0.9963215825123685,-186.4688942131556,23.298384787212115
RGI60-13.44633,0.02068987327516973,0.990533942306193,-203.0772410014831,13.863522372735511
RGI60-13.44634,-0.15440483073155054,0.9909847065259907,-626.6619579736121,15.392245207132483
RGI60-13.44635,-0.2457214372532886,0.9889000206266076,-584.627158763891,14.14125304260577
RGI60-13.44636,-0.07338153532082337,0.990764973689475,-641.5337779198821,15.30145539575911
RGI60-13.44637,-0.14961130864632838,0.9874637780793375,-648.4220720621207,12.689611125585449
RGI60-13.44638,0.007195093763131283,0.9889055137152004,-696.6190578720237,13.924051730419933
RGI60-13.44639,-0.37236579094040895,0.9819300308927932,-667.0911582966697,10.326175013240027
RGI60-13.44640,-0.15947699043911467,0.988452502953009,-744.7241364741789,12.067736169167096
RGI60-13.44642,-0.2578449554201311,0.9893501803005809,-624.0758453061076,12.92166421571715
RGI60-13.44643,-0.13302819475081706,0.9907688807363941,-639.9600251729536,14.648782107972766
RGI60-13.44644,-0.043706102485557265,0.9950079237221929,-428.5160503751777,19.92838765159055
RGI60-13.44645,-0.289010270712325,0.9836888987104878,-757.9231889798239,11.438612733099738
RGI60-13.44646,-0.24417397841783428,0.9781292644091618,-666.0560437555552,9.83390280893726
RGI60-13.44647,-0.024742694920487755,0.9880912363341738,-653.1043915815055,12.896350281324063
RGI60-13.44648,-0.40217655196968854,0.9823557101796169,-443.679939988272,10.451299940436561
RGI60-13.44649,-0.03529301738731368,0.9885048092825452,-830.104554611895,13.44692585224128
RGI60-13.44650,-0.18047998592915623,0.986317544283654,-641.260115600628,12.681590840122144
RGI60-13.44651,-0.22947375355261493,0.9837906300652958,-565.761439436847,12.382658960171756
RGI60-13.44652,-0.13900564839205753,0.9896504444452079,-775.837262725865,13.816555136135294
RGI60-13.44653,-0.11718333502353022,0.9841790845600651,-805.7815577803424,10.933354128623003
RGI60-13.44654,-0.21282181409194206,0.9897360568598146,-573.8774501303476,13.621833730466427
RGI60-13.44655,-0.2200647379338445,0.9906240110899954,-807.2270235207804,13.893194580255074
RGI60-13.44656,-0.06821825178515933,0.9909867018132507,-165.1480373587504,13.374260318164431
RGI60-13.44657,-0.13095481469246883,0.9833570844732218,-279.59207658426936,11.738938485592133
RGI60-13.44658,-0.1050380451762414,0.9879014992634599,-603.3465924776528,13.784877424636448
RGI60-13.44659,-0.2653481900532073,0.9892422378611884,-723.3005039022647,12.954661070759403
RGI60-13.44660,-0.16844220456046535,0.9921502136587839,-271.83420058595186,17.699084349658893
RGI60-13.44661,-0.2906869868514397,0.9822075052759363,-661.5397457007703,10.698985040414444
RGI60-13.44662,-0.16572494615481045,0.9761274550662639,-686.7278426127706,9.602501992258464
RGI60-13.44663,-0.17098921404792228,0.984515073967077,-570.5861725439268,11.285670167480324
RGI60-13.44664,-0.01723162343976147,0.9934707966686823,-542.5333816569778,16.91368091266155
RGI60-13.44665,-0.1938574140753579,0.9843703751457762,-753.5909130175963,12.357206361046202
RGI60-13.44666,-0.18427244864480902,0.9879325482300464,-676.1524985982464,12.678991411555677
RGI60-13.44667,-0.20358435458233776,0.9890099027842837,-743.2477303481294,11.941439260558544
RGI60-13.44668,-0.1079775803600271,0.9939237442521194,-430.9724996719731,16.906949370290963
RGI60-13.44669,-0.1593587107794432,0.9936837447141932,-393.5354184471724,17.50434100887073
RGI60-13.44670,-0.22722622623153002,0.9907555629193645,-794.9753816060028,16.00633701056703
RGI60-13.44671,-0.12939890516263977,0.9923549307073112,-388.7081271276085,16.793170195248727
RGI60-13.44672,-0.13947811520073145,0.982904371718716,-683.4639800416304,11.304633529985015
RGI60-13.44673,-0.09666994569060146,0.984185209506767,-732.0915689169393,11.32288424707961
RGI60-13.44674,-0.13823936975766135,0.9940188238180032,-554.1331846710243,18.436363561034312
RGI60-13.44675,-0.2664080472237732,0.9854337249581868,-1005.9867146534108,11.77393173164158
RGI60-13.44676,-0.31474891741223965,0.9941034334552067,-675.4344115720882,18.322621369347587
RGI60-13.44677,-0.16271994099845574,0.9893135754319818,-746.7195228892139,13.912439543540945
RGI60-13.44678,-0.004932874577304564,0.993559862888106,-539.968290730191,16.53597703211662
RGI60-13.44679,-0.12827213104573162,0.9954241082627064,-727.5352210759199,23.090532955388294
RGI60-13.44680,-0.19820587497650724,0.9946010623146408,-396.36475642459374,18.415944916216446
RGI60-13.44681,-0.05666754011828877,0.9958867985097467,-269.4414812636202,22.009646974719338
RGI60-13.44682,-0.1920817130119257,0.9852964471159865,-766.8327107015839,12.090932794482024
RGI60-13.44683,-0.15604631709439645,0.984463062363428,-622.5006226403159,10.723731320938338
RGI60-13.44684,-0.20558981471281926,0.9878274151088668,-610.6697388118249,13.606099740923545
RGI60-13.44685,-0.23874241372878074,0.9899842944467827,-850.0596296288512,15.11972044236796
RGI60-13.44686,-0.1522427841534186,0.9887922374004873,-538.4050166204609,12.26676597993035
RGI60-13.44687,-0.2949110398159019,0.9894600992799338,-357.02665037333327,13.997315689229886
RGI60-13.44688,-0.23435843376873206,0.9900499594772485,-761.0654481438524,14.023946444636582
RGI60-13.44689,-0.2825370069046421,0.9881320147111089,-400.78826783256403,11.238015244854818
RGI60-13.44690,-0.0688371565201502,0.9895967196384745,-804.4357297558475,12.227613699696708
RGI60-13.44691,-0.31547501734342903,0.9885892699290179,-572.7109180512454,13.388598615580564
RGI60-13.44692,-0.18291732746218764,0.9850803135002436,-626.6105084044784,10.368535116882656
RGI60-13.44693,-0.22570419021004112,0.9885712081281827,-379.0638249134432,12.588835091019034
RGI60-13.44694,-0.03513648503063444,0.9887341306821719,-885.9568753862483,13.4969599021434
RGI60-13.44695,-0.17073803737362747,0.9859545780545358,-890.9305965236116,12.95054610250418
RGI60-13.44696,-0.23827040816900166,0.9923480478349559,-797.208086896283,14.56702485654641
RGI60-13.44697,-0.1458193516323543,0.991373745665776,-807.7681160210853,15.190701423452749
RGI60-13.44698,-0.17134956216649938,0.9934226958703262,-713.7364279908272,16.29208243834935
RGI60-13.44699,-0.019306850428946896,0.9918069066025742,-468.32523138226725,15.751925822276101
RGI60-13.44700,-0.1490025521525973,0.9927029757844752,-428.33890390215345,16.421596347601387
RGI60-13.44701,-0.06670761888240893,0.9919627433076584,-662.119770235819,17.165246714454163
RGI60-13.44702,-0.07825946774356829,0.9929208723661632,-388.1341686361873,17.698121872284272
RGI60-13.44703,-0.08639610782728337,0.9959461423377068,-499.49757287010596,20.457740944735644
RGI60-13.44704,-0.22879435845145285,0.9935639293500289,-293.8286370267823,18.791595959879327
RGI60-13.44705,-0.11704273037749811,0.9948107501823835,-389.7612492626564,19.147603772438632
RGI60-13.44706,-0.2954592021637327,0.986968011912118,-593.633613910969,12.886856589588138
RGI60-13.44707,0.06528709167407228,0.9921925002708688,-609.634025653082,13.668212717792668
RGI60-13.44708,-0.14484315914987256,0.9952460889131345,-474.4815130562383,18.18799623472888
RGI60-13.44709,-0.17482948935848852,0.9906899995186326,-752.8113566381207,14.653864823250291
RGI60-13.44710,-0.20833375582319558,0.993267923044857,-549.9018965545987,17.170631638471914
RGI60-13.44711,0.048229104591057795,0.9927681198308389,-424.3672334060019,16.68166210072168
RGI60-13.44712,-0.23596956134892696,0.9893947617392304,-1150.7487867379732,14.036156761068662
RGI60-13.44713,0.006161155549706017,0.9963029264954582,-260.8360537652012,19.08394320154988
RGI60-13.44714,-0.016676583265985073,0.9912307543485879,-213.96627307014117,16.55313671129836
RGI60-13.44715,-0.1975128505814057,0.9915496684636586,-730.979598818126,14.43500583265103
RGI60-13.44716,-0.12743981187573192,0.9927686287741194,-706.431034038337,17.239589566712148
RGI60-13.44717,-0.3189353834789194,0.9928486539222183,-609.1769753536271,15.967956700440633
